epoch,acc,loss,lr,val_acc,val_loss
0,0.685,1.07605220443,0.001,0.5973125,1.8253419745
1,0.8535625,0.45633190909,0.001,0.608866933497,1.73491866783
2,0.892845966078,0.326331818664,0.001,0.762568784452,0.936292595271
3,0.9144375,0.266576119617,0.001,0.889007003532,0.346339720269
4,0.924453902489,0.234888004672,0.001,0.918771885973,0.274175072724
5,0.932875,0.209391077939,0.001,0.929777388754,0.229069378854
6,0.9376875,0.196274668336,0.001,0.925775387724,0.234506562778
7,0.938536646444,0.189037361476,0.001,0.925775387724,0.282873098719
8,0.9436875,0.173808714496,0.001,0.90964232122,0.28658955914
9,0.951367590916,0.151126605116,0.001,0.943534267163,0.188381096794
10,0.94875,0.155740397971,0.001,0.906890945532,0.30654084345
11,0.950491331289,0.154059287147,0.001,0.922148574347,0.271082077621
12,0.958,0.129595611394,0.001,0.964669834917,0.110302923867
13,0.95675,0.131861541353,0.001,0.905140070035,0.346343240352
14,0.96038054704,0.120436161655,0.001,0.939032016068,0.210868908179
15,0.9604375,0.126139201136,0.001,0.926963481801,0.260595764626
16,0.966201414533,0.103236658516,0.001,0.959042021011,0.139744609456
17,0.963875,0.110578340765,0.001,0.922836418239,0.268867069832
18,0.965450334856,0.108457121196,0.001,0.964107053586,0.10985170059
19,0.9838125,0.0467631361702,0.0002,0.993996998499,0.018767576685
20,0.988375,0.0368057056997,0.0002,0.993684342171,0.0171714505295
21,0.988858984828,0.0347414275088,0.0002,0.993934467234,0.0188905909041
22,0.9896875,0.0314535934021,0.0002,0.994122061031,0.0199377413979
23,0.990298554179,0.0294280143239,0.0002,0.995997998999,0.0124885928263
24,0.99175,0.0253472248232,0.0002,0.993184092046,0.0226104903832
